support,itemsets
0.0023986781643917637,frozenset({'❤'})
0.0003489233271536342,frozenset({'👍'})
0.00031226601262776603,frozenset({'🙏'})
0.0007070109829387354,frozenset({'‼'})
0.00037166443894283023,frozenset({'🔥'})
0.0010739235477763606,frozenset({'😂'})
0.0003417955159958265,frozenset({'🏻'})
0.00018803844673454605,frozenset({'👏'})
0.0001717463069452713,frozenset({'🤣'})
0.0001846442509451138,frozenset({'👊'})
0.0004381906764157021,frozenset({'🤔'})
0.00012388814631427672,frozenset({'😎'})
0.00035231752294306645,frozenset({'☺'})
0.0001544359084191669,frozenset({'🙌'})
0.00043886951557358853,frozenset({'⚡'})
0.00021519201305000396,frozenset({'👇'})
0.0001798923768399087,frozenset({'😉'})
0.0018559462576615484,frozenset({'©'})
0.0006934341997810065,frozenset({'✨'})
0.0008485489473580598,frozenset({'✊'})
0.00038082876757429725,frozenset({'✌'})
0.0002012758103133318,frozenset({'❗'})
0.00016937036989266875,frozenset({'♥'})
0.0003305946698907001,frozenset({'🏾'})
0.00012694292252476576,frozenset({'💪'})
0.0001347495728404599,frozenset({'😭'})
0.00028986432041751324,frozenset({'😍'})
0.00011166904147232067,frozenset({'☝'})
0.000283415348417592,frozenset({'☀'})
0.00015783010420859913,frozenset({'✅'})
0.00010284413241979685,frozenset({'⚽'})
0.00024506093599700767,frozenset({'❄'})
0.00010488064989345619,frozenset({'✈'})
0.00016326081747169071,frozenset({'☕'})
0.00022367750252358457,frozenset({'⤵'})
0.0014659531614557842,frozenset({'▶'})
0.00030615646020678796,frozenset({'™'})
0.00025286758631270183,frozenset({'🏼'})
0.00022231982420781168,frozenset({'😡'})
0.0001347495728404599,frozenset({'🙄'})
0.00015205997136656432,frozenset({'💰'})
0.00028714896378596747,frozenset({'😊'})
0.0003159996279961415,frozenset({'💥'})
0.0006075610463083708,frozenset({'🚨'})
0.0006540615286235925,frozenset({'✔'})
0.00010759600652500198,frozenset({'♀'})
0.00017921353768202223,frozenset({'💯'})
0.0004025516206266636,frozenset({'👉'})
0.000257619460417907,frozenset({'📷'})
0.00010012877578825106,frozenset({'😳'})
0.00010725658694605876,frozenset({'😘'})
0.00019143264252397828,frozenset({'🏽'})
0.00014493216020875662,frozenset({'🚫'})
0.00019482683831341055,frozenset({'🏿'})
0.000553253913677455,frozenset({'😠'})
0.00010827484568288844,frozenset({'⭐'})
0.00013576783157728958,frozenset({'👌'})
0.00022299866336569812,frozenset({'➡'})
0.00010250471284085363,frozenset({'⁉'})
0.00011438439810386646,frozenset({'🌴'})
0.00010861426526183165,frozenset({'⚠'})
0.0002657655303125443,frozenset({'↔'})
0.00013169479662997088,frozenset({'♨'})
0.00019109322294503508,frozenset({'💲'})
0.0001534176496823372,frozenset({'💸'})
0.00012185162884061739,frozenset({'🐇'})
0.00010454123031451297,"frozenset({'✊', '🏿'})"
0.00015002345389290497,"frozenset({'😠', '✔'})"
0.00010691716736711553,"frozenset({'🚨', '😠'})"
0.0001276217616826522,"frozenset({'💲', '💸'})"
